"Parameter","Year","Age","ParamName","median","lCI","uCI"
"Psi[3, 12]",2015,"2","Psi",0.747753338842964,0.554641421838387,0.882132093781617
"Psi[3, 13]",2016,"2","Psi",0.682139087679253,0.502400268795869,0.822882075745652
"Psi[3, 14]",2017,"2","Psi",0.602762004396208,0.407872432170704,0.786944530678718
"Psi[3, 15]",2018,"2","Psi",0.703268500579344,0.49925473996588,0.887110912938748
"Psi[3, 16]",2019,"2","Psi",0.806750177952092,0.612250236246531,0.944277106405617
"Psi[3, 17]",2020,"2","Psi",0.592799517247903,0.378294610102412,0.762681192588786
"Psi[3, 18]",2021,"2","Psi",0.564864873263333,0.37319551732405,0.744675053522564
"Psi[3, 19]",2022,"2","Psi",0.656378198122802,0.436673393872008,0.849577379533339
"Psi[3, 1]",2004,"2","Psi",0.699416008857802,0.370252331285489,0.917814416718499
"Psi[3, 20]",2023,"2","Psi",0.809396277397856,0.564252586371441,0.925401867132646
"Psi[3, 21]",2024,"2","Psi",0.607660506277989,0.301041835952559,0.81122918313167
"Psi[3, 2]",2005,"2","Psi",0.594757003312037,0.439267708792252,0.742628133924526
"Psi[3, 3]",2006,"2","Psi",0.737618320145961,0.571947845328263,0.872297076357603
"Psi[3, 4]",2007,"2","Psi",0.642642607070252,0.401185149391607,0.807820050071947
"Psi[3, 5]",2008,"2","Psi",0.809448151485826,0.657648652028475,0.916785488839866
"Psi[3, 6]",2009,"2","Psi",0.604930315543663,0.406570488417411,0.800761626737259
"Psi[3, 7]",2010,"2","Psi",0.605859792532476,0.408992016057154,0.782656333102018
"Psi[3, 8]",2011,"2","Psi",0.932480906411352,0.809411373238158,0.981708009195622
"Psi[3, 9]",2012,"2","Psi",0.877156315893259,0.752599601349323,0.953366645661904
"Psi[4, 10]",2013,"3","Psi",0.639418385060158,0.387631744867329,0.831994875441016
"Psi[4, 11]",2014,"3","Psi",0.784134302318947,0.580250378827015,0.906834829105395
"Psi[4, 12]",2015,"3","Psi",0.885246294005976,0.73919210557962,0.955942972695629
"Psi[4, 13]",2016,"3","Psi",0.847606140956927,0.690641845806649,0.93374206978873
"Psi[4, 14]",2017,"3","Psi",0.798177019224086,0.596779257436603,0.917571402143394
"Psi[4, 15]",2018,"3","Psi",0.86132487558159,0.711377474468256,0.953395287022615
"Psi[4, 16]",2019,"3","Psi",0.916259884928843,0.7900884515675,0.977998804665032
"Psi[4, 17]",2020,"3","Psi",0.790824710400572,0.574293367570517,0.906248803021484
"Psi[4, 18]",2021,"3","Psi",0.771086844225953,0.573613061713941,0.895363878355286
"Psi[4, 19]",2022,"3","Psi",0.832692190429893,0.646382283040755,0.938414441992093
"Psi[4, 1]",2004,"3","Psi",0.857993052657428,0.5766721817904,0.968113627149763
"Psi[4, 20]",2023,"3","Psi",0.91636452328,0.746693000733849,0.973662160513306
"Psi[4, 21]",2024,"3","Psi",0.799757726228104,0.500047658069808,0.923710503548608
"Psi[4, 2]",2005,"3","Psi",0.790938206370383,0.655594379794106,0.888889662899843
"Psi[4, 3]",2006,"3","Psi",0.879268780706171,0.760606651755049,0.95017591932792
